"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年12月18日","730,367","725,216","735,321","705,844","30.75K","0.71%"
"2019年12月17日","725,198","754,569","759,620","720,250","22.90K","-3.89%"
"2019年12月16日","754,573","777,610","780,621","749,386","18.63K","-2.96%"
"2019年12月15日","777,614","773,348","786,327","767,626","15.28K","0.55%"
"2019年12月14日","773,342","792,361","794,794","767,195","12.09K","-2.40%"
"2019年12月13日","792,379","786,315","797,113","786,315","10.92K","0.77%"
"2019年12月12日","786,309","782,083","792,941","770,692","17.66K","0.54%"
"2019年12月11日","782,068","786,175","791,019","775,923","11.69K","-0.52%"
"2019年12月10日","786,145","797,805","802,922","779,125","15.35K","-1.46%"
"2019年12月09日","797,803","816,450","828,329","792,163","19.28K","-2.29%"
"2019年12月08日","816,488","814,737","821,286","803,167","11.44K","0.22%"
"2019年12月07日","814,736","818,612","828,091","813,001","15.59K","-0.53%"
"2019年12月06日","819,039","803,628","820,338","794,028","24.50K","1.92%"
"2019年12月05日","803,628","783,862","814,347","781,295","27.32K","2.52%"
"2019年12月04日","783,896","793,062","821,569","769,761","32.62K","-1.16%"
"2019年12月03日","793,076","797,004","807,732","789,931","12.76K","-0.50%"
"2019年12月02日","797,072","811,243","814,518","785,538","18.17K","-1.74%"
"2019年12月01日","811,202","827,932","827,932","793,865","21.68K","-2.02%"
"2019年11月30日","827,953","849,400","854,606","817,660","15.67K","-2.53%"
"2019年11月29日","849,405","814,738","859,091","812,930","25.84K","4.27%"
"2019年11月28日","814,631","822,314","837,726","808,824","20.97K","-0.95%"
"2019年11月27日","822,426","781,690","840,745","749,283","38.94K","5.21%"
"2019年11月26日","781,690","776,344","798,715","766,100","28.06K","0.69%"
"2019年11月25日","776,343","752,017","800,882","710,792","56.56K","3.19%"
"2019年11月24日","752,340","796,450","798,853","748,703","26.83K","-5.54%"
"2019年11月23日","796,424","791,254","799,908","772,195","21.98K","0.61%"
"2019年11月22日","791,583","827,935","837,291","741,812","58.53K","-4.39%"
"2019年11月21日","827,935","877,273","880,720","818,246","24.38K","-5.63%"
"2019年11月20日","877,290","881,577","892,123","871,580","13.09K","-0.49%"
"2019年11月19日","881,581","889,643","891,439","869,156","16.20K","-0.91%"
"2019年11月18日","889,638","925,658","925,658","881,763","18.11K","-3.90%"
"2019年11月17日","925,751","923,407","938,910","913,052","11.60K","0.25%"
"2019年11月16日","923,407","921,660","928,452","918,328","8.35K","0.19%"
"2019年11月15日","921,658","937,008","949,280","913,878","21.42K","-1.64%"
"2019年11月14日","937,040","953,067","955,472","931,768","13.36K","-1.67%"
"2019年11月13日","952,945","960,683","962,688","948,180","11.76K","-0.71%"
"2019年11月12日","959,722","951,307","966,155","937,457","17.31K","0.87%"
"2019年11月11日","951,433","987,421","989,838","939,629","17.05K","-3.67%"
"2019年11月10日","987,727","963,036","996,304","957,144","12.93K","2.56%"
"2019年11月09日","963,036","958,175","970,557","954,922","10.14K","0.51%"
"2019年11月08日","958,175","1,006,621","1,009,047","949,507","25.10K","-4.84%"
